"No find your function","No find your function"
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"postId value is not null","postId value is not null"
"Action value is not null","Action value is not null"
"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
"AuthorName value is not null","AuthorName value is not null"
"categoryId value is not null","categoryId value is not null"
"categoryKey value is not null","categoryKey value is not null"
"tagName value is not null","tagName value is not null"
"topicId value is not null","topicId value is not null"
"postId value is not Null.","postId value is not Null."
